                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.062,                 1.0611,                 1.1929,                0.90246,                0.74996,                0.80112,                0.61971,                0.83382,                0.53054,                0.93976,               0.007129,               0.007129,               0.007129
                     90,                 1.0686,                 1.0569,                 1.1957,                0.90056,                0.75136,                0.80208,                 0.6203,                 0.8323,                0.52848,                0.93887,               0.007096,               0.007096,               0.007096
                     91,                 1.0755,                 1.0652,                 1.1933,                0.89931,                0.75196,                0.80259,                0.62041,                0.83063,                0.52654,                0.93807,               0.007063,               0.007063,               0.007063
                     92,                 1.0608,                 1.0557,                 1.1895,                0.90381,                0.75327,                0.80285,                0.62047,                0.82869,                0.52568,                0.93753,                0.00703,                0.00703,                0.00703
                     93,                 1.0685,                 1.0592,                 1.1901,                0.90814,                 0.7529,                0.80358,                0.62096,                0.82849,                0.52476,                0.93729,               0.006997,               0.006997,               0.006997
                     94,                 1.0532,                 1.0499,                 1.1878,                0.91245,                0.75161,                0.80449,                0.62174,                0.82794,                 0.5235,                0.93699,               0.006964,               0.006964,               0.006964
                     95,                 1.0559,                 1.0427,                 1.1877,                0.91323,                0.75343,                0.80514,                0.62233,                0.82669,                0.52211,                0.93656,               0.006931,               0.006931,               0.006931
                     96,                 1.0601,                 1.0365,                 1.1838,                0.91833,                0.75365,                0.80606,                0.62183,                0.82568,                0.52069,                0.93619,               0.006898,               0.006898,               0.006898
                     97,                 1.0468,                 1.0365,                 1.1784,                0.91588,                0.75232,                0.80593,                 0.6229,                0.82512,                 0.5192,                0.93597,               0.006865,               0.006865,               0.006865
                     98,                 1.0462,                 1.0319,                 1.1782,                0.91776,                0.75525,                0.80686,                0.62254,                0.82467,                0.51876,                 0.9356,               0.006832,               0.006832,               0.006832
                     99,                 1.0465,                 1.0259,                 1.1777,                0.91657,                 0.7549,                0.80701,                0.62345,                0.82404,                0.51801,                0.93517,               0.006799,               0.006799,               0.006799
                    100,                 1.0379,                 1.0108,                 1.1769,                0.92078,                0.75347,                0.80729,                0.62363,                0.82363,                0.51714,                0.93496,               0.006766,               0.006766,               0.006766
                    101,                  1.041,                 1.0116,                  1.176,                 0.9219,                0.75397,                0.80768,                0.62431,                 0.8227,                0.51626,                0.93442,               0.006733,               0.006733,               0.006733
                    102,                 1.0298,                 1.0032,                 1.1657,                0.91473,                0.75639,                 0.8077,                0.62451,                0.82226,                0.51568,                0.93437,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0311,                 1.0045,                 1.1704,                0.91799,                0.75632,                0.80837,                0.62497,                0.82212,                0.51534,                 0.9342,               0.006667,               0.006667,               0.006667
                    104,                  1.028,                0.99889,                 1.1683,                 0.9181,                0.75683,                 0.8091,                0.62493,                0.82106,                0.51459,                 0.9338,               0.006634,               0.006634,               0.006634
                    105,                 1.0215,                 0.9896,                 1.1639,                0.91551,                0.75774,                0.80956,                0.62558,                0.82042,                0.51443,                0.93348,               0.006601,               0.006601,               0.006601
                    106,                 1.0156,                0.99491,                 1.1639,                0.90945,                0.75751,                0.80884,                0.62599,                0.81933,                0.51264,                0.93303,               0.006568,               0.006568,               0.006568
                    107,                 1.0139,                0.97848,                 1.1575,                0.90736,                0.75809,                0.80948,                0.62586,                0.81913,                 0.5122,                0.93272,               0.006535,               0.006535,               0.006535
                    108,                 1.0123,                0.97212,                 1.1618,                0.91139,                0.75978,                 0.8107,                0.62655,                0.81835,                 0.5119,                0.93256,               0.006502,               0.006502,               0.006502
                    109,                 1.0096,                0.98021,                 1.1565,                  0.913,                0.76033,                0.81122,                0.62665,                0.81728,                0.51067,                0.93215,               0.006469,               0.006469,               0.006469
                    110,                 1.0164,                0.97877,                 1.1561,                0.91081,                0.75942,                0.81057,                0.62705,                0.81727,                0.50984,                0.93212,               0.006436,               0.006436,               0.006436
                    111,                 1.0049,                0.96094,                 1.1571,                0.90992,                0.75975,                0.81074,                0.62712,                0.81673,                0.50943,                0.93198,               0.006403,               0.006403,               0.006403
                    112,                 1.0065,                0.97145,                 1.1539,                0.90991,                0.76072,                0.81099,                 0.6272,                0.81646,                0.50897,                0.93209,                0.00637,                0.00637,                0.00637
                    113,                0.99401,                0.95704,                 1.1488,                0.91117,                0.76042,                0.81102,                0.62766,                0.81548,                0.50834,                0.93176,               0.006337,               0.006337,               0.006337
                    114,                 1.0037,                0.96749,                 1.1538,                0.91251,                0.76079,                0.81222,                0.62833,                0.81525,                 0.5074,                0.93163,               0.006304,               0.006304,               0.006304
                    115,                 1.0049,                0.96777,                 1.1505,                0.91545,                0.76165,                0.81325,                0.62831,                0.81486,                0.50718,                0.93132,               0.006271,               0.006271,               0.006271
                    116,                0.98935,                 0.9398,                 1.1433,                0.91629,                0.76279,                0.81355,                0.62836,                0.81497,                0.50696,                0.93111,               0.006238,               0.006238,               0.006238
                    117,                0.98588,                0.92826,                 1.1396,                0.91665,                0.76329,                0.81409,                0.62936,                0.81462,                0.50674,                  0.931,               0.006205,               0.006205,               0.006205
