                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2068,                 1.3034,                 1.2974,                0.85878,                0.67604,                0.73517,                0.55863,                0.96821,                0.75967,                  1.047,               0.008152,               0.008152,               0.008152
                     59,                 1.2024,                 1.2986,                  1.298,                0.87083,                0.66851,                0.73724,                0.55989,                0.96674,                0.75013,                 1.0464,               0.008119,               0.008119,               0.008119
                     60,                 1.2098,                 1.3048,                 1.2974,                0.85813,                0.68102,                 0.7408,                0.56286,                0.96459,                0.74328,                 1.0456,               0.008086,               0.008086,               0.008086
                     61,                 1.1951,                 1.2715,                 1.2914,                 0.8592,                0.68181,                0.74287,                0.56491,                0.96073,                0.73739,                 1.0422,               0.008053,               0.008053,               0.008053
                     62,                 1.1904,                  1.268,                 1.2871,                0.86199,                0.68453,                0.74529,                0.56546,                0.95981,                0.73155,                 1.0415,                0.00802,                0.00802,                0.00802
                     63,                 1.1885,                 1.2665,                 1.2886,                0.86467,                0.68844,                0.74733,                0.56739,                 0.9584,                0.72695,                 1.0405,               0.007987,               0.007987,               0.007987
                     64,                 1.1873,                 1.2607,                 1.2842,                0.86543,                0.68333,                0.74864,                0.56797,                0.95603,                0.72605,                 1.0391,               0.007954,               0.007954,               0.007954
                     65,                 1.1813,                 1.2472,                  1.277,                0.85918,                0.69044,                 0.7503,                0.57026,                0.95477,                0.72419,                 1.0381,               0.007921,               0.007921,               0.007921
                     66,                   1.17,                 1.2302,                 1.2686,                0.87535,                0.68638,                0.75186,                0.57078,                0.95616,                0.72163,                 1.0393,               0.007888,               0.007888,               0.007888
                     67,                 1.1745,                 1.2237,                 1.2719,                0.86408,                0.69404,                0.75292,                0.57182,                0.95468,                0.71796,                 1.0383,               0.007855,               0.007855,               0.007855
                     68,                 1.1672,                  1.208,                 1.2637,                 0.8603,                0.69875,                0.75458,                0.57422,                0.95332,                0.71442,                 1.0389,               0.007822,               0.007822,               0.007822
                     69,                 1.1638,                 1.2038,                 1.2653,                0.86474,                0.70123,                0.75667,                0.57522,                0.95212,                0.70875,                 1.0388,               0.007789,               0.007789,               0.007789
                     70,                 1.1589,                 1.2069,                 1.2618,                0.87047,                0.70224,                0.75754,                  0.576,                0.94988,                0.70533,                 1.0376,               0.007756,               0.007756,               0.007756
                     71,                 1.1537,                 1.2024,                 1.2621,                0.86472,                0.70206,                0.75819,                0.57647,                0.94957,                0.70381,                 1.0388,               0.007723,               0.007723,               0.007723
                     72,                 1.1583,                 1.2093,                 1.2667,                0.85575,                0.70815,                0.75939,                0.57821,                0.94805,                0.70088,                 1.0387,                0.00769,                0.00769,                0.00769
                     73,                 1.1497,                 1.1934,                 1.2606,                0.85335,                0.71191,                0.75992,                0.57793,                0.94658,                0.69753,                 1.0385,               0.007657,               0.007657,               0.007657
                     74,                 1.1379,                  1.163,                 1.2504,                0.85363,                0.71304,                0.76101,                0.57781,                0.94441,                0.69577,                 1.0367,               0.007624,               0.007624,               0.007624
                     75,                 1.1396,                 1.1691,                 1.2538,                0.85826,                0.71232,                 0.7627,                0.57879,                0.94247,                0.69409,                 1.0358,               0.007591,               0.007591,               0.007591
                     76,                 1.1381,                 1.1594,                 1.2475,                0.86425,                 0.7118,                 0.7635,                0.57994,                0.94076,                 0.6912,                 1.0351,               0.007558,               0.007558,               0.007558
                     77,                 1.1422,                 1.1551,                 1.2467,                0.87272,                0.70781,                0.76367,                0.58081,                0.94047,                0.68999,                 1.0357,               0.007525,               0.007525,               0.007525
                     78,                 1.1292,                 1.1471,                 1.2439,                0.86989,                0.70937,                0.76469,                0.58223,                0.93959,                0.68798,                 1.0358,               0.007492,               0.007492,               0.007492
                     79,                 1.1276,                   1.14,                 1.2408,                0.87526,                0.70938,                 0.7654,                0.58283,                0.93844,                  0.686,                 1.0352,               0.007459,               0.007459,               0.007459
                     80,                 1.1263,                 1.1343,                 1.2382,                0.86701,                 0.7131,                0.76656,                0.58321,                0.93801,                0.68518,                 1.0346,               0.007426,               0.007426,               0.007426
