                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.82752,                0.63304,                 0.9854,                0.59954,                0.37781,                0.39315,                0.29959,                 1.0661,                 2.0663,                 1.1395,               0.008911,               0.008911,               0.008911
                     69,                0.82182,                0.61926,                0.97984,                0.62485,                0.38214,                0.39575,                0.30186,                 1.0667,                 2.0782,                 1.1385,              0.0088945,              0.0088945,              0.0088945
                     70,                0.83837,                0.63115,                0.98249,                0.62845,                0.37665,                0.39161,                0.29984,                 1.0541,                   2.08,                 1.1222,               0.008878,               0.008878,               0.008878
                     71,                0.82565,                0.62092,                0.98165,                0.65735,                0.37823,                0.39758,                0.30246,                 1.0585,                  2.061,                  1.139,              0.0088615,              0.0088615,              0.0088615
                     72,                0.83101,                0.62109,                0.98392,                0.63864,                0.37256,                0.39469,                0.30304,                 1.0624,                 2.0935,                 1.1496,               0.008845,               0.008845,               0.008845
                     73,                0.82428,                 0.6237,                0.98386,                 0.6455,                0.36777,                0.39114,                0.29746,                 1.0567,                 2.0821,                 1.1397,              0.0088285,              0.0088285,              0.0088285
                     74,                0.81412,                0.60885,                0.97956,                0.65217,                0.36543,                0.39494,                 0.2988,                  1.054,                 2.0455,                 1.1382,               0.008812,               0.008812,               0.008812
                     75,                0.82279,                0.61238,                0.97832,                0.65707,                0.37308,                0.39935,                0.30504,                 1.0533,                 2.1058,                 1.1327,              0.0087955,              0.0087955,              0.0087955
                     76,                0.82399,                0.60888,                0.97447,                 0.7316,                0.35207,                 0.3963,                0.30131,                 1.0484,                 2.0642,                 1.1347,               0.008779,               0.008779,               0.008779
                     77,                 0.8187,                0.60674,                0.97349,                0.64424,                0.37723,                0.40491,                0.30682,                 1.0461,                 2.0595,                 1.1254,              0.0087625,              0.0087625,              0.0087625
                     78,                0.81845,                0.61019,                0.97334,                0.69802,                0.37686,                0.41433,                0.31742,                 1.0307,                  2.016,                 1.1191,               0.008746,               0.008746,               0.008746
                     79,                0.80757,                0.58293,                 0.9695,                0.69672,                0.38137,                0.41402,                0.31762,                 1.0431,                 2.0327,                 1.1256,              0.0087295,              0.0087295,              0.0087295
                     80,                0.81203,                 0.5948,                0.97184,                 0.6593,                0.38341,                0.40818,                0.31458,                  1.036,                 2.0347,                 1.1296,               0.008713,               0.008713,               0.008713
                     81,                 0.7991,                0.58195,                0.96449,                0.67005,                0.38051,                0.40937,                0.31309,                 1.0396,                 2.0324,                  1.142,              0.0086965,              0.0086965,              0.0086965
                     82,                0.78846,                0.57896,                0.96549,                0.69088,                0.37836,                0.41266,                0.31762,                 1.0155,                 2.0489,                 1.1181,                0.00868,                0.00868,                0.00868
                     83,                0.79461,                0.57741,                0.96411,                0.68667,                0.38284,                0.41146,                0.31418,                  1.035,                 2.0629,                 1.1266,              0.0086635,              0.0086635,              0.0086635
                     84,                0.79109,                0.57677,                0.96479,                0.73146,                0.36376,                 0.4108,                0.31623,                 1.0335,                 2.0755,                 1.1257,               0.008647,               0.008647,               0.008647
                     85,                0.79188,                0.57006,                0.96769,                0.66402,                  0.384,                0.40531,                0.30792,                 1.0405,                 2.1336,                 1.1331,              0.0086305,              0.0086305,              0.0086305
                     86,                0.78231,                0.56536,                0.96434,                0.63669,                 0.3935,                 0.4125,                0.31985,                 1.0188,                 2.0509,                  1.121,               0.008614,               0.008614,               0.008614
                     87,                0.78188,                0.56528,                0.96169,                0.72296,                0.36444,                0.40641,                0.31042,                 1.0381,                 2.1105,                 1.1351,              0.0085975,              0.0085975,              0.0085975
                     88,                0.79035,                0.56515,                0.96047,                0.69484,                0.37685,                0.40944,                0.31364,                  1.038,                 2.1016,                 1.1402,               0.008581,               0.008581,               0.008581
                     89,                0.78132,                0.55357,                0.95467,                0.69756,                0.37552,                0.40766,                 0.3132,                 1.0276,                 2.1254,                 1.1283,              0.0085645,              0.0085645,              0.0085645
                     90,                0.77613,                0.55514,                0.96249,                 0.7168,                0.38092,                0.41404,                0.32122,                 1.0093,                 2.0999,                 1.1211,               0.008548,               0.008548,               0.008548
                     91,                0.78491,                 0.5619,                0.95749,                0.65878,                0.39395,                0.40817,                0.31082,                 1.0304,                 2.1006,                 1.1307,              0.0085315,              0.0085315,              0.0085315
                     92,                0.78052,                0.55583,                0.95634,                0.66759,                0.39607,                0.41758,                0.32018,                 1.0227,                 2.0545,                 1.1233,               0.008515,               0.008515,               0.008515
                     93,                 0.7756,                 0.5577,                0.95863,                0.64616,                0.39102,                0.41976,                0.32269,                  1.012,                 2.0572,                 1.1125,              0.0084985,              0.0084985,              0.0084985
                     94,                0.76268,                0.55176,                0.95129,                0.68622,                0.38947,                0.42048,                0.32205,                 1.0214,                 2.0614,                 1.1134,               0.008482,               0.008482,               0.008482
                     95,                 0.7641,                0.54172,                0.95316,                0.68542,                 0.3926,                0.42842,                0.32807,                 1.0246,                  2.049,                 1.1236,              0.0084655,              0.0084655,              0.0084655
                     96,                0.76624,                0.54714,                0.95549,                0.69127,                0.39258,                 0.4244,                0.32639,                 1.0066,                 2.0127,                 1.1121,               0.008449,               0.008449,               0.008449
                     97,                0.76022,                0.53757,                  0.949,                0.71032,                0.38978,                0.42374,                0.32516,                 1.0073,                 2.0294,                 1.1129,              0.0084325,              0.0084325,              0.0084325
                     98,                0.76129,                0.53742,                0.95189,                0.67095,                0.39843,                0.42943,                0.32971,                 1.0161,                 1.9989,                 1.1247,               0.008416,               0.008416,               0.008416
                     99,                0.75454,                0.53331,                0.94936,                0.64819,                0.40483,                0.42632,                0.33239,                 1.0055,                 2.0442,                 1.1205,              0.0083995,              0.0083995,              0.0083995
                    100,                0.74816,                0.53657,                 0.9503,                0.70785,                0.39302,                0.42654,                0.33059,                 1.0025,                 2.0262,                 1.1228,               0.008383,               0.008383,               0.008383
                    101,                0.75299,                0.53532,                  0.948,                 0.6987,                0.39238,                0.42829,                0.33012,                 1.0154,                 2.0419,                   1.13,              0.0083665,              0.0083665,              0.0083665
                    102,                0.75302,                0.53357,                0.94946,                0.66977,                0.40509,                0.42928,                0.32825,                 1.0166,                 2.0554,                 1.1224,                0.00835,                0.00835,                0.00835
                    103,                0.75849,                0.53258,                0.94928,                0.66854,                0.39176,                0.42146,                0.32748,                 1.0099,                 2.0644,                 1.1178,              0.0083335,              0.0083335,              0.0083335
                    104,                0.74956,                0.52352,                0.93989,                0.70299,                0.38789,                0.42502,                0.32727,                 1.0221,                 2.0799,                 1.1329,               0.008317,               0.008317,               0.008317
                    105,                0.74054,                0.51209,                0.94602,                0.66611,                0.39291,                0.42551,                0.32972,                 1.0071,                 2.0858,                   1.12,              0.0083005,              0.0083005,              0.0083005
                    106,                0.74679,                0.52137,                0.94792,                 0.6502,                0.39895,                0.42775,                0.32845,                 1.0171,                 2.0778,                  1.125,               0.008284,               0.008284,               0.008284
                    107,                0.74081,                0.52642,                0.94783,                0.68283,                0.41264,                0.43077,                0.33397,                 1.0093,                 2.0527,                 1.1282,              0.0082675,              0.0082675,              0.0082675
                    108,                0.74259,                0.51425,                0.94452,                0.70479,                0.39435,                 0.4316,                 0.3341,                0.99838,                 2.0466,                 1.1147,               0.008251,               0.008251,               0.008251
                    109,                0.74399,                0.51594,                0.94461,                0.69509,                0.40012,                0.43775,                0.33878,                  0.999,                  2.022,                 1.1147,              0.0082345,              0.0082345,              0.0082345
                    110,                0.73235,                0.50526,                0.93606,                0.68256,                  0.401,                0.43091,                0.33379,                 1.0128,                 2.0595,                 1.1279,               0.008218,               0.008218,               0.008218
                    111,                0.72386,                 0.5049,                0.93893,                0.68349,                0.39842,                0.42507,                0.33034,                 1.0092,                 2.1142,                 1.1277,              0.0082015,              0.0082015,              0.0082015
                    112,                0.74129,                0.51424,                0.93932,                0.69642,                0.40007,                0.43556,                0.33821,                 1.0052,                 2.0586,                 1.1219,               0.008185,               0.008185,               0.008185
                    113,                0.73275,                0.51292,                0.94061,                0.65917,                0.40697,                0.43466,                0.33975,                 1.0053,                 2.0587,                 1.1183,              0.0081685,              0.0081685,              0.0081685
                    114,                0.73265,                0.50472,                0.93606,                0.68367,                0.39774,                 0.4313,                0.33673,                 1.0033,                   2.07,                 1.1156,               0.008152,               0.008152,               0.008152
                    115,                0.72521,                0.50435,                0.93642,                 0.7102,                0.39909,                0.43847,                0.33994,                 0.9986,                  2.027,                 1.1158,              0.0081355,              0.0081355,              0.0081355
                    116,                0.71896,                0.49815,                0.93578,                0.69711,                0.39965,                0.43656,                0.33924,                 1.0032,                 2.0833,                 1.1177,               0.008119,               0.008119,               0.008119
                    117,                0.71715,                0.49616,                0.93673,                0.70049,                0.39652,                0.43463,                0.33827,                0.99691,                 2.0571,                 1.1098,              0.0081025,              0.0081025,              0.0081025
                    118,                0.72262,                 0.5014,                0.93596,                0.70328,                0.39836,                0.43708,                0.33864,                0.99805,                 2.0282,                 1.1091,               0.008086,               0.008086,               0.008086
                    119,                0.72866,                0.50659,                0.94227,                 0.6682,                0.40078,                0.43396,                0.33528,                0.99813,                 2.0084,                 1.1195,              0.0080695,              0.0080695,              0.0080695
                    120,                0.72376,                0.49443,                0.93549,                 0.7268,                0.38807,                0.43298,                0.33647,                0.99127,                 2.0363,                 1.1126,               0.008053,               0.008053,               0.008053
                    121,                0.73365,                0.50387,                0.93936,                0.70017,                0.40433,                0.43963,                0.34108,                0.97958,                 2.0151,                 1.1057,              0.0080365,              0.0080365,              0.0080365
                    122,                 0.7158,                0.48682,                 0.9313,                0.70026,                 0.4005,                0.44054,                0.34379,                0.98189,                 2.0142,                 1.1123,                0.00802,                0.00802,                0.00802
                    123,                0.72683,                0.49306,                0.93101,                 0.7089,                0.40464,                0.43941,                0.34187,                0.98226,                 2.0056,                 1.1149,              0.0080035,              0.0080035,              0.0080035
                    124,                0.71701,                0.49065,                0.93379,                0.75031,                0.39387,                0.43978,                0.34167,                0.98838,                  2.036,                 1.1199,               0.007987,               0.007987,               0.007987
                    125,                0.71258,                0.48551,                0.93183,                 0.7491,                0.39499,                 0.4391,                0.34185,                0.98831,                 2.0333,                 1.1156,              0.0079705,              0.0079705,              0.0079705
                    126,                0.71169,                0.48745,                0.92591,                0.72467,                0.39687,                0.43871,                0.34236,                 0.9921,                 2.0399,                 1.1145,               0.007954,               0.007954,               0.007954
                    127,                0.71165,                0.48771,                0.93226,                0.72182,                0.40199,                0.43967,                0.34153,                0.99449,                 2.0108,                 1.1167,              0.0079375,              0.0079375,              0.0079375
                    128,                0.70045,                0.48251,                0.93229,                0.73096,                0.40357,                0.44298,                0.34399,                0.99083,                 2.0084,                 1.1155,               0.007921,               0.007921,               0.007921
                    129,                 0.6957,                0.47867,                0.92528,                 0.7288,                0.40179,                0.44056,                0.34264,                0.98683,                 2.0412,                 1.1174,              0.0079045,              0.0079045,              0.0079045
                    130,                0.70367,                0.48071,                0.92992,                0.70263,                0.41531,                0.44248,                 0.3444,                0.98527,                 2.0202,                 1.1168,               0.007888,               0.007888,               0.007888
                    131,                0.69856,                0.47668,                0.92832,                0.69431,                 0.4091,                0.43945,                0.34264,                0.98411,                 2.0089,                 1.1157,              0.0078715,              0.0078715,              0.0078715
                    132,                0.69886,                0.48223,                0.92963,                0.71258,                0.40402,                 0.4402,                0.34438,                0.98691,                 1.9923,                 1.1199,               0.007855,               0.007855,               0.007855
                    133,                0.70739,                0.48237,                0.93047,                0.70955,                0.40523,                 0.4462,                 0.3482,                0.98038,                 1.9804,                 1.1157,              0.0078385,              0.0078385,              0.0078385
